makes me feel like,gibt mir das Gefühl
go under the hammer,versteigert werden
have it both ways,doppelt gewinnen
have the wind up,Angst haben
kick up breeze,lärmen
kick up shindy,zetern
make big difference,viel ausmachen
make public appearance,öffentlich auftreten
make all the difference,viel ausmachen
present united front,Einigkeit demonstrieren
rise the bait,anbeißen
take one's heels,flüchten
turn on the tap,losheulen
deep bench of products,große Produktvielfalt
flash in the pan,Strohfeuer
Unverified house of ill repute,Sexsalon
pie in the sky,Zukunftsmusik
tit-for-tat (response),Retourkutsche
as matter of fact,tatsächlich
as dead as dodo,mausetot
as dead as doornail,mausetot
as keen as razor,messerscharf
as straight as die,grundehrlich
as true as die,grundehrlich
come out in the wash,ausfallen
trailblaze,den Weg bereiten
at length,endlich
at length,ausführlich
Beats me!,Da bin ich überfragt.
beneath notice,nicht der Beachtung wert
by degrees,nach und nach
by rights,von Rechts wegen
Confound it!,Zum Teufel damit!
Damn you!,Hol dich der Teufel!
Drop dead!,Scher dich zum Teufel!
Get cracking!,Schieß los!
Heaven forbid!,Gott bewahre uns davor!
How come ...,"Wie kommt es, dass ..."
I'm stuck.,Ich hänge fest.
let alone ...,ganz zu schweigen von ...
let alone ...,gar nicht zu reden von ...
Nothing doing.,Das kannst du vergessen.
on occasion,ab und zu
plain vanilla,nichts Besonderes
Point taken.,Begriffen.
Point taken.,Kapiert.
Time flies.,Die Zeit rast.
until doomsday,bis zum Jüngsten Tag
up front,vorab
worlds apart,Welten voneinander entfernt
back down,einen Rückzieher machen
be after,verfolgen
beaver away,wie ein Pferd arbeiten
bottle it,den Mut verlieren
break ranks,aus der Reihe tanzen
bring up,ans Tageslicht bringen
burn daylight,Zeit verschwenden
catch napping,überrumpeln
change tack,das Ruder herumreißen
change tack,das Ruder herumwerfen
churn out,ausstoßen
come undone,die Selbstkontrolle verlieren
cut corners,das Verfahren abkürzen
do proud,stolz machen
follow suit,nachziehen
go unsung,sang- und klanglos untergehen
go west,draufgehen
have kittens,Zustände kriegen
hulk out,in Wut geraten
keep dark,geheim halten
kill time,(die) Zeit totschlagen
kiss up,nach oben buckeln
live large,auf großem Fuß leben
lock gazes,einander in die Augen sehen
lose ground,an Einfluss verlieren
lose heart,verzagen
lose it,durchdrehen
make amends,eine Scharte auswetzen
make out,verstehen
make sense,Sinn machen
make out,ermitteln
make out,feststellen
make out,unterscheiden
make out,ausnehmen
make out,heraushören
mark time,auf der Stelle treten
part company,sich scheiden
pass muster,die Prüfung bestehen
play gooseberry,den Anstandswauwau abgeben
play hooky,schwänzen
pop by,vorbeikommen
ride shotgun,vorne sitzen
run amuck,Amok laufen
sell short,schlechtmachen
sell underhandedly,unter der Hand verkaufen
serve right,es verdient haben
stay put,an Ort und Stelle bleiben
stick out,durchstehen
strike midnight,Mitternacht schlagen
think laterally,um die Ecke denken
tough out,durchstehen
turn loose,freilassen
win laurels,sich Lorbeeren holen
ballpark figure,Hausnummer
chicken scratch,Krickelkrakel
cooking 101,das 1x1 des Kochens
dead air,Funkstille
Dutch shout,getrennte Kasse
Job's news,Hiobspost
rocky road,steiniger Weg
underhand dealings,Geschäfte unter der Hand
across the board,in jeder Beziehung
against the hair,in der falschen Richtung
alive and kicking,gesund und munter
all in all,summa summarum
all things considered,alles in allem
along general lines,in groben Zügen
along general lines,in großen Zügen
along the way,nebenbei
along the way,unterwegs
as it were,wie die Dinge lagen
as of late,in letzter Zeit
at pinch,wenn die Not drückt
at push,wenn es sein muss
at any price,unter allen Umständen
at any rate,zumindest
at any rate,auf jeden Fall
at any rate,wie dem auch sei
at breakneck speed,in einem Höllentempo
at close quarters,ganz in der Nähe
at one's convenience,nach Belieben
at one's leisure,nach Belieben
at the ready,griffbereit
back and forth,auf und ab
below the line,unter dem Strich
beneath his dignity,unter seiner Würde
beneath my dignity,unter meiner Würde
Bless my soul!,Du meine Güte!
bloodied but unbowed,"angeschlagen, aber unbesiegt"
by and by,bald darauf
by and by,wenig später
Unverified By the devil!,Tod und Teufel!
cheap and cheerful,preiswert und gut
Color me impressed!,Ich bin beeindruckt!
Colour me impressed!,Ich bin beeindruckt!
cut and dried,in trockenen Tüchern
Unverified dance with death,Tanz mit dem Tod
Enough is enough!,Genug ist genug!
every man jack,alle ohne Ausnahme
every which way,in alle Richtungen
everyone for himself,jeder für sich
feast or famine,Sekt oder Selters
for song,für einen Spottpreis
for song,zu einem Spottpreis
from whole cloth,frei erfunden
green with envy,gelb vor Neid
green with envy,grün vor Neid
Have heart!,Sei so nett!
Heads or tails?,Kopf oder Schrift?
in breath,im gleichen Atemzug
in flash,im Nu
in flash,mit Blitzesschnelle
in nutshell,kurz und bündig
in nutshell,kurz und gut
in pinch,wenn wirklich notwendig
in pinch,unter Druck
in shake,im Nu
in trice,im Nu
in wink,im Nu
in actual fact,im Grunde
in broad daylight,am helllichten Tag
in broad daylight,auf offener Straße
in full swing,en carrière
in no time,im Nu
in plain view,vor aller Augen
in terms of,hinsichtlich
in the balance,auf der Kippe
in this light,unter diesem Blickwinkel
It was nothing.,Nichts zu danken.
just ticking over,auf Sparflamme
Keep them coming!,Immer her damit!
loaded for bear,geladen
not my department,nicht meine Branche
now and then,dann und wann
on good authority,aus wohlunterrichteten Kreisen
on my behalf,in meinem Namen
on that score,was das betrifft angeht
on the cheap,auf billige Weise
on the cheap,für wenig Geld
on the fly,im Handumdrehen
on the quiet,unter der Hand
on the rise,auf dem Vormarsch
on the scout,auf der Lauer
on the whole,alles in allem
on the whole,im Ganzen (gesehen)
Orders are orders.,Befehl ist Befehl.
Passion creates suffering.,Die Leidenschaft schafft Leiden.
prim and proper,geschniegelt und gestriegelt
right on cue,genau aufs Stichwort
right on cue,wie gerufen
Seeing is believing.,Sehen ist glauben.
short and sweet,kurz und bündig
short and sweet,kurz und schmerzlos
since time immemorial,seit uralter Zeit
swollen with pride,mit geschwellter Brust
the other day,dieser Tage
the other evening,dieser Tage
the other morning,dieser Tage
the other week,dieser Tage
There we go!,Na bitte!
There you are!,Da hast du's.
There's the doorbell.,Es hat geklingelt.
through the ages,durch alle Zeiten
time and again,ein ums andere Mal
my mind,meines Erachtens
under one's breath,ganz leise
under the counter,unter dem Ladentisch
under the counter,unterm Ladentisch
under the weather,unpässlich
using sledgehammer,mit der Brechstange
walked by faith,vom Glauben getragen
What on earth ...?,Was zum Teufel ...?
What the deuce ...?,Was zum Teufel ...?
What the heck!,Wen kümmert's!
Where the devil ...?,Wo zum Teufel ...?
with one accord,geschlossen
with open eyes,sehenden Auges
within an inch,um ein Haar
without whimper,sang- und klanglos
without further ado,ohne langes Federlesen
without further ado,ohne weiteres Aufhebens
without much ado,ohne viel Federlesen
without much ado,ohne viel Federlesens
You are priceless!,Du bist unbezahlbar!
You are welcome!,Nichts zu danken!
act in concert,gemeinsam handeln
be snap,ein Klacks sein
be all ears,ganz Ohr sein
be all eyes,ganz Auge sein
be at college,studieren
be in decline,im Niedergang begriffen sein
be in stitches,sich schieflachen
be left standing,das Nachsehen haben
be off base,falschliegen
be on fire,in Flammen stehen
be on hold,auf Eis liegen
be on tenterhooks,in peinlicher Spannung sein
be running late,spät dran sein
be top dog,das Sagen haben
bear testimony,bezeugen
beat one's way,sich durchschlagen
beat the odds,dem Schicksal trotzen
bite on granite,auf Granit beißen
blow one's cover,auffliegen
break new ground,neue Wege gehen
bridge divide,eine Kluft überbrücken
bring heel,gefügig machen
bring light,aufklären
burst into flames,in Flammen aufgehen
bury the hatchet,das Kriegsbeil begraben
call it quits,Schluss machen
call the shots,"bestimmen, was geschieht"
call the tune,"bestimmen, was geschieht"
carry into effect,verwirklichen
cast doubt on,bezweifeln
catch one's breath,(sich verschnaufen
catch one's breath,Atem holen
catch eye,Aufmerksamkeit erregen
catch imagination,Vorstellungskraft anregen
catch sight of,gewahren
change one's mind,seine Meinung ändern
change one's ways,seine Gewohnheiten ändern
clear the air,reinen Tisch machen
come down handsomely,sich freigebig zeigen
come into play,eine Rolle spielen
come into play,ins Spiel kommen
come into power,ans Ruder kommen
come light,ans Licht kommen
come light,ans Tageslicht kommen
come light,zu Tage treten
come nothing,im Sand verlaufen
come nothing,im Sande verlaufen
come up short,zu kurz kommen
cook the accounts,die Bücher fälschen
cook the accounts,die Bücher verschleiern
cook the accounts,die Konten fälschen
cook the books,die Bilanzen fälschen
cook the books,die Bücher fälschen
create sensation,(viel) Staub aufwirbeln
curry favour with,hofieren
cut ... figure,eine ... Figur abgeben
do one's best,sein Bestes tun
drop one's guard,unvorsichtig sein
eat humble pie,nach Canossa gehen
eat humble pie,zu Kreuze kriechen
explore new avenues,neue Wege beschreiten
fall from grace,in Ungnade fallen
fall in line,sich fügen
fall into disuse,nicht mehr benutzt werden
fall into place,klar werden
fall like ninepins,wie Streichhölzer umknicken
fall pieces,zerfallen
fall pieces,kaputtgehen
feel boxed in,sich eingeengt fühlen
fight the man,gegen die Autorität kämpfen
find one's bearings,sich orientieren
Unverified finish the job,den Sack zumachen
fix loophole,ein Hintertürchen schließen
fix loophole,ein Schlupfloch schließen
fork out money,Geld herausrücken
fret and fume,vor Wut schäumen
get hearing,sich Gehör verschaffen
get carried away,sich verrennen
get into gear,in Tritt kommen
get off easy,glimpflich davonkommen
get one's bearings,sich orientieren
get one's way,seinen Willen bekommen
get down pat,perfektionieren
get the boot,rausgeschmissen werden
get the idea,den Sinn erfassen
get the shaft,leer ausgehen
get the stick,eine Tracht Prügel bekommen
give chase,verfolgen
give buzz,anrufen
give ride,mitfahren lassen
give the slip,entwischen
go all out,aufs Ganze gehen
go far afield,weit ausholen
go into action,in Aktion treten
grab attention,Aufmerksamkeit erregen
grease palm,bestechen
grow like Topsy,wie verrückt wild wachsen
handle red tape,mit (der) Bürokratie umgehen
have cow,ausrasten
have point,nicht ganz Unrecht haben
have point,nicht ganz unrecht haben
have say,(eine) Mitsprache haben
have first call,Vorrang haben
have full rein,freie Hand haben
have one's say,zu Wort kommen
have in store,bereithalten
have sunk in,sitzen
have the nerve,die Stirn haben
hit the bottom,die Talsohle erreichen
hit the headlines,in die Schlagzeilen kommen
hit the mark,ins Schwarze treffen
hold one's own,sich behaupten
hold account,verantwortlich machen
hold the floor,das Wort haben
jump all over,herunterputzen
jump the gun,die Dinge übereilen
jump the gun,die Dinge überstürzen
keep one's head,die Ruhe bewahren
keep proper hours,ein geregeltes Leben führen
keep under wraps,totschweigen
keep track of,nachverfolgen
kick habit,eine Gewohnheit ablegen
kick the bucket,abkratzen
knock on wood,auf Holz klopfen
know no bounds,ins Uferlose gehen
know the ropes,die Spielregeln kennen
laugh oneself silly,sich scheckiglachen
lay waste,verheeren
lay waste,verwüsten
loosen the tongue,die Zunge lösen
lose one's rag,ausrasten
lose one's temper,in Zorn geraten
lose the plot,den Überblick verlieren
lose the thread,den Faden verlieren
lower one's sights,Abstriche machen
lower the bar,das Niveau senken
make leg,katzbuckeln
make start,einen Anfang machen
make allowance for,berücksichtigen
make amends for,wiedergutmachen
make an appearance,erscheinen
make an appearance,in Erscheinung treten
make fun of,veräppeln
make fun of,verarschen
make good cheer,gut essen und trinken
make good time,gut durchkommen
make good time,schnell durchkommen
make havoc of,verwüsten
make one's apologies,Abbitte tun
make one's mark,hervortreten
make one's mark,sich profilieren
make day,Freude machen
make up leeway,das Versäumte nachholen
make way (for,Platz machen
mark watershed,einen Wendepunkt markieren
mend one's ways,sich bessern
miss the boat,den Anschluss verpassen
offer one's apologies,Abbitte tun
pass muster (with,Zustimmung finden
patch things up,sich zusammenraufen
pay heed,beherzigen
play first fiddle,die Hauptrolle spielen
play itself out,sich totlaufen
pop one's clogs,sterben
provoke storm,eine Lawine lostreten
pull face,ein Gesicht machen
pull no punches,offen und ehrlich sein
pull one's weight,das Seinige beitragen
pull one's weight,seinen Beitrag leisten
pull leg,foppen
pull leg,veralbern
pursue new avenues,neue Wege beschreiten
push buttons,provozieren
put shame,Schande machen
put on hold,aufschieben
rock the boat,für Ärger sorgen
rock the boat,für Aufregung sorgen
rock the boat,für Unruhe sorgen
ruffle feathers,verärgern
